,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
326,15,26,2755.57375,551114.75,45.19101190621445,41665.99999999996
327,15,27,2755.57375,551114.75,45.19101190621445,41665.99999999996
328,15,28,2755.57375,551114.75,45.19101190621445,41665.99999999996
329,15,29,2755.57375,551114.75,45.19101190621445,41665.99999999996
330,15,30,2755.57375,551114.75,45.19101190621445,41665.99999999996
331,15,31,2755.57375,551114.75,45.19101190621445,41665.99999999996
332,15,32,2755.57375,551114.75,45.19101190621445,41665.99999999996
333,15,33,2755.57375,551114.75,45.19101190621445,41665.99999999996
334,15,34,2755.57375,551114.75,45.19101190621445,41665.99999999996
335,15,35,2755.57375,551114.75,45.19101190621445,41665.99999999996
336,15,36,2755.57375,551114.75,45.19101190621445,41665.99999999996
337,15,37,2755.57375,551114.75,45.19101190621445,41665.99999999996
338,15,38,2755.57375,551114.75,45.19101190621445,41665.99999999996
339,15,39,2755.57375,551114.75,45.19101190621445,41665.99999999996
340,16,6,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
341,16,7,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
342,16,8,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
343,16,9,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
344,16,10,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
345,16,11,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
346,16,12,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
347,16,13,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
348,16,14,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
349,16,15,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
350,16,16,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
351,16,17,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
352,16,18,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
353,16,19,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
354,16,20,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
355,16,21,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
356,16,22,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
357,16,23,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
358,16,24,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
359,16,25,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
360,16,26,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
361,16,27,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
362,16,28,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
363,16,29,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
364,16,30,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
365,16,31,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
366,16,32,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
367,16,33,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
368,16,34,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
369,16,35,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
370,16,36,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
371,16,37,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
372,16,38,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
373,16,39,2771.9249999999997,554385.0,45.58132156951756,41665.99999999998
374,17,6,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
375,17,7,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
376,17,8,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
377,17,9,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
378,17,10,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
379,17,11,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
380,17,12,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
381,17,13,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
382,17,14,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
383,17,15,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
384,17,16,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
385,17,17,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
386,17,18,2805.1862499999997,561037.25,44.9024568323324,41665.99999999996
